#Proj	R	C	t
#  0    1   2   3

1796	0	0	11000
1796	0	1	13000
1796	0	2	13000
1796	0	3	11000
1796	0	4	12000
1796	0	5	13000
1796	0	6	14000
1796	0	7	12000
1796	0	8	13000
1796	0	9	12000
1796	0	10	14000
1796	0	11	11000
1796	0	12	14000
1796	0	13	13000
1796	0	14	12000
1796	0	15	12000
1796	0	16	14000
1796	0	17	12000
1796	0	18	12000
1796	0	19	13000
1796	0	20	13000
1796	0	21	14000
1796	0	22	12000
1796	0	23	13000
1796	0	24	13000
1796	0	25	12000
1796	0	26	13000
1796	0	27	13000
1796	0	28	13000
1796	0	29	13000
1796	0	30	12000
1796	0	31	13000
1796	0	32	12000
1796	0	33	12000
1796	0	34	13000
1796	0	35	13000
1796	0	36	13000
1796	0	37	12000
1796	0	38	12000
1796	0	39	14000
1796	0	40	13000
1796	0	41	13000
1796	0	42	13000
1796	0	43	13000
1796	0	44	12000
1796	0	45	10000
1796	0	46	14000
1796	0	47	13000
1796	0	48	13000
